Gene,Entity_type,N_regions,Total_bases,Mean_coverage,Median_coverage,Min_region_coverage,Low_regions_any,Recurrent_low_regions,Est_pct_bases_ge20,Est_pct_bases_low20,Default_status
LOC105371566,Non-coding/other,1,1.0,13.47,13.47,13.47,1,1,0.06,0.94,FAIL
LOC105371674,Non-coding/other,1,1.0,59.41,59.41,59.41,0,0,1.0,0.0,WARNING
LOC105371710,Non-coding/other,1,182.0,121.24,121.24,121.24,0,0,1.0,0.0,OK
LOC105371720,Non-coding/other,1,1.0,1.12,1.12,1.12,1,1,0.0,1.0,FAIL
LOC105371729,Non-coding/other,1,45.0,49.71,49.71,49.71,0,0,1.0,0.0,WARNING
LOC105371763,Non-coding/other,1,109.0,75.65,75.65,75.65,0,0,1.0,0.0,OK
LOC105371932,Non-coding/other,2,648.0,120.97,120.97,64.29,0,0,1.0,0.0,OK
LOC105371933,Non-coding/other,1,526.0,186.88,186.88,186.88,0,0,1.0,0.0,OK
LOC105372204,Non-coding/other,1,747.0,464.12,464.12,464.12,0,0,1.0,0.0,OK
LOC105372261,Non-coding/other,1,1.0,103.65,103.65,103.65,0,0,1.0,0.0,OK
LOC105372269,Non-coding/other,2,744.0,900.74,900.74,266.88,0,0,1.0,0.0,OK
LOC105372439,Non-coding/other,1,39.0,75.35,75.35,75.35,0,0,1.0,0.0,OK
LOC105372440,Non-coding/other,3,87.0,64.53,73.94,36.53,1,0,0.98,0.02,WARNING
LOC105372630,Non-coding/other,1,1.0,94.18,94.18,94.18,0,0,1.0,0.0,OK
LOC105372685,Non-coding/other,1,1.0,112.65,112.65,112.65,0,0,1.0,0.0,OK
LOC105372714,Non-coding/other,7,936.0,153.19,145.65,89.76,0,0,1.0,0.0,OK
LOC105372798,Non-coding/other,1,669.0,190.0,190.0,190.0,0,0,1.0,0.0,OK
LOC105372836,Non-coding/other,4,630.0,148.44,143.09,121.12,0,0,1.0,0.0,OK
LOC105372977,Non-coding/other,2,417.0,160.32,160.32,155.88,0,0,1.0,0.0,OK
LOC105372984,Non-coding/other,1,74.0,118.71,118.71,118.71,0,0,1.0,0.0,OK
LOC105373091,Non-coding/other,2,822.0,112.47,112.47,62.12,0,0,1.0,0.0,OK
LOC105373124,Non-coding/other,1,155.0,116.12,116.12,116.12,0,0,1.0,0.0,OK
LOC105373133,Non-coding/other,2,307.0,117.59,117.59,106.76,0,0,1.0,0.0,OK
LOC105373242,Non-coding/other,3,1173.0,178.41,214.0,42.41,1,0,1.0,0.0,OK
LOC105373244,Non-coding/other,3,678.0,131.94,121.29,110.59,0,0,1.0,0.0,OK
LOC105373289,Non-coding/other,6,1376.0,82.95,63.97,12.29,1,1,0.99,0.01,OK
LOC105373347,Non-coding/other,5,537.0,267.31,202.41,115.53,0,0,1.0,0.0,OK
LOC105373395,Non-coding/other,3,791.0,159.33,63.29,50.06,0,0,1.0,0.0,OK
LOC105373480,Non-coding/other,3,812.0,101.94,76.29,60.59,0,0,1.0,0.0,OK
LOC105373605,Non-coding/other,1,1.0,3.53,3.53,3.53,1,1,0.0,1.0,FAIL
LOC105373759,Non-coding/other,1,89.0,67.06,67.06,67.06,0,0,1.0,0.0,WARNING
LOC105373780,Non-coding/other,1,48.0,156.88,156.88,156.88,0,0,1.0,0.0,OK
LOC105373796,Non-coding/other,1,6.0,103.59,103.59,103.59,0,0,1.0,0.0,OK
LOC105373989,Non-coding/other,2,1134.0,136.91,136.91,100.53,0,0,1.0,0.0,OK
LOC105374220,Non-coding/other,1,1.0,1.35,1.35,1.35,1,1,0.0,1.0,FAIL
LOC105374378,Non-coding/other,2,422.0,126.29,126.29,106.88,0,0,1.0,0.0,OK
LOC105374618,Non-coding/other,3,691.0,76.04,28.94,24.41,2,1,0.93,0.07,OK
LOC105374764,Non-coding/other,4,342.0,73.84,75.21,55.59,0,0,1.0,0.0,OK
LOC105374811,Non-coding/other,2,119.0,137.06,137.06,134.53,0,0,1.0,0.0,OK
LOC105375107,Non-coding/other,2,660.0,136.62,136.62,71.29,0,0,1.0,0.0,OK
LOC105375112,Non-coding/other,3,453.0,116.63,154.24,35.94,1,1,0.73,0.27,WARNING
LOC105375116,Non-coding/other,2,945.0,565.91,565.91,103.12,0,0,1.0,0.0,OK
LOC105375222,Non-coding/other,1,1.0,51.0,51.0,51.0,0,0,1.0,0.0,WARNING
LOC105375303,Non-coding/other,3,746.0,98.86,86.35,82.35,0,0,1.0,0.0,OK
LOC105375411,Non-coding/other,1,22.0,101.29,101.29,101.29,0,0,1.0,0.0,OK
LOC105375450,Non-coding/other,1,1.0,156.53,156.53,156.53,0,0,1.0,0.0,OK
LOC105375490,Non-coding/other,1,1.0,117.71,117.71,117.71,0,0,1.0,0.0,OK
LOC105375690,Non-coding/other,1,1.0,100.76,100.76,100.76,0,0,1.0,0.0,OK
LOC105375809,Non-coding/other,3,527.0,10.73,4.35,3.24,3,3,0.15,0.85,FAIL
LOC105375816,Non-coding/other,3,447.0,153.73,196.76,60.76,0,0,1.0,0.0,OK
LOC105375817,Non-coding/other,4,567.0,173.9,176.03,98.59,0,0,1.0,0.0,OK
LOC105375938,Non-coding/other,2,972.0,179.85,179.85,131.29,0,0,1.0,0.0,OK
LOC105375975,Non-coding/other,2,213.0,79.06,79.06,65.06,0,0,1.0,0.0,OK
LOC105376107,Non-coding/other,1,75.0,193.12,193.12,193.12,0,0,1.0,0.0,OK
LOC105376196,Non-coding/other,1,1.0,1.71,1.71,1.71,1,1,0.0,1.0,FAIL
LOC105376204,Non-coding/other,1,576.0,176.94,176.94,176.94,0,0,1.0,0.0,OK
LOC105376244,Non-coding/other,1,75.0,139.35,139.35,139.35,0,0,1.0,0.0,OK
LOC105376335,Non-coding/other,1,137.0,116.35,116.35,116.35,0,0,1.0,0.0,OK
LOC105376714,Non-coding/other,2,325.0,175.56,175.56,100.0,0,0,1.0,0.0,OK
LOC105376722,Non-coding/other,3,429.0,249.2,269.12,82.06,0,0,1.0,0.0,OK
LOC105376917,Non-coding/other,4,423.0,140.24,128.26,85.82,0,0,1.0,0.0,OK
LOC105377015,Non-coding/other,4,4.0,21.96,9.09,2.94,3,3,0.28,0.72,FAIL
LOC105377055,Non-coding/other,1,109.0,103.82,103.82,103.82,0,0,1.0,0.0,OK
LOC105377350,Non-coding/other,1,1.0,82.47,82.47,82.47,0,0,1.0,0.0,OK
LOC105377462,Non-coding/other,3,35.0,88.76,84.76,77.0,0,0,1.0,0.0,OK
LOC105377642,Non-coding/other,1,145.0,142.82,142.82,142.82,0,0,1.0,0.0,OK
LOC105377697,Non-coding/other,1,1.0,95.59,95.59,95.59,0,0,1.0,0.0,OK
LOC105377730,Non-coding/other,1,1.0,72.88,72.88,72.88,0,0,1.0,0.0,OK
LOC105377805,Non-coding/other,1,1310.0,278.88,278.88,278.88,0,0,1.0,0.0,OK
LOC105377864,Non-coding/other,3,3.0,34.1,18.35,11.06,2,2,0.49,0.51,FAIL
LOC105378148,Non-coding/other,4,644.0,199.26,202.29,165.41,0,0,1.0,0.0,OK
LOC105378193,Non-coding/other,2,1216.0,307.15,307.15,107.65,0,0,1.0,0.0,OK
LOC105378479,Non-coding/other,3,694.0,144.78,128.71,126.94,0,0,1.0,0.0,OK
LOC105378577,Non-coding/other,1,630.0,211.71,211.71,211.71,0,0,1.0,0.0,OK
LOC105378883,Non-coding/other,1,1.0,76.71,76.71,76.71,0,0,1.0,0.0,OK
LOC105378947,Non-coding/other,4,2136.0,82.69,86.82,0.65,4,1,0.84,0.16,WARNING
LOC105378948,Non-coding/other,3,1008.0,155.49,95.24,43.06,0,0,1.0,0.0,OK
LOC105378979,Non-coding/other,3,591.0,120.29,108.76,77.65,0,0,1.0,0.0,OK
LOC105379163,Non-coding/other,1,305.0,120.0,120.0,120.0,0,0,1.0,0.0,OK
LOC105379174,Non-coding/other,1,1.0,88.18,88.18,88.18,0,0,1.0,0.0,OK
LOC105379198,Non-coding/other,6,1121.0,108.05,78.59,32.59,1,0,1.0,0.0,OK
LOC105379199,Non-coding/other,2,56.0,76.65,76.65,13.59,1,1,0.98,0.02,OK
LOC105379473,Non-coding/other,1,672.0,0.24,0.24,0.24,1,1,0.0,1.0,FAIL
LOC105379504,Non-coding/other,1,28.0,38.65,38.65,38.65,0,0,1.0,0.0,FAIL
LOC107983981,Non-coding/other,6,525.0,129.35,123.97,80.24,0,0,1.0,0.0,OK
LOC107983983,Non-coding/other,1,203.0,292.24,292.24,292.24,0,0,1.0,0.0,OK
LOC107984041,Non-coding/other,1,39.0,106.24,106.24,106.24,0,0,1.0,0.0,OK
LOC107984126,Non-coding/other,3,642.0,0.0,0.0,0.0,3,3,0.0,1.0,FAIL
LOC107984265,Non-coding/other,1,446.0,90.06,90.06,90.06,0,0,1.0,0.0,OK
LOC107984341,Non-coding/other,1,852.0,163.76,163.76,163.76,0,0,1.0,0.0,OK
LOC107984343,Non-coding/other,1,1.0,40.53,40.53,40.53,0,0,1.0,0.0,WARNING
LOC107984449,Non-coding/other,1,552.0,161.65,161.65,161.65,0,0,1.0,0.0,OK
LOC107984561,Non-coding/other,1,113.0,99.29,99.29,99.29,0,0,1.0,0.0,OK
LOC107984755,Non-coding/other,1,47.0,186.94,186.94,186.94,0,0,1.0,0.0,OK
LOC107984851,Non-coding/other,1,76.0,118.94,118.94,118.94,0,0,1.0,0.0,OK
LOC107984859,Non-coding/other,4,1233.0,130.81,112.41,57.24,0,0,1.0,0.0,OK
LOC107984862,Non-coding/other,1,960.0,446.06,446.06,446.06,0,0,1.0,0.0,OK
LOC107984869,Non-coding/other,1,1.0,83.71,83.71,83.71,0,0,1.0,0.0,OK
LOC107984902,Non-coding/other,2,423.0,326.32,326.32,252.12,0,0,1.0,0.0,OK
LOC107985320,Non-coding/other,1,19.0,167.41,167.41,167.41,0,0,1.0,0.0,OK
LOC107985384,Non-coding/other,1,462.0,185.35,185.35,185.35,0,0,1.0,0.0,OK
LOC107985423,Non-coding/other,1,90.0,169.12,169.12,169.12,0,0,1.0,0.0,OK
LOC107985535,Non-coding/other,4,770.0,114.15,108.71,71.47,0,0,1.0,0.0,OK
LOC107985694,Non-coding/other,1,96.0,88.24,88.24,88.24,0,0,1.0,0.0,OK
LOC107985728,Non-coding/other,1,6.0,81.0,81.0,81.0,0,0,1.0,0.0,OK
LOC107985770,Non-coding/other,1,627.0,242.65,242.65,242.65,0,0,1.0,0.0,OK
LOC107985792,Non-coding/other,5,737.0,150.16,155.53,85.12,0,0,1.0,0.0,OK
LOC107985856,Non-coding/other,4,759.0,99.24,92.0,85.24,0,0,1.0,0.0,OK
LOC107985876,Non-coding/other,1,921.0,290.88,290.88,290.88,0,0,1.0,0.0,OK
LOC107985923,Non-coding/other,1,13.0,73.24,73.24,73.24,0,0,1.0,0.0,OK
LOC107985939,Non-coding/other,3,489.0,104.73,130.41,34.47,1,0,0.96,0.04,OK
LOC107985940,Non-coding/other,1,1.0,83.94,83.94,83.94,0,0,1.0,0.0,OK
LOC107986092,Non-coding/other,1,1.0,3.88,3.88,3.88,1,1,0.0,1.0,FAIL
LOC107986229,Non-coding/other,2,2.0,60.76,60.76,55.18,0,0,1.0,0.0,WARNING
LOC107986596,Non-coding/other,1,1098.0,322.82,322.82,322.82,0,0,1.0,0.0,OK
